,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
303,$25 - 49.9 Mil,Not Available,50-99,Custom Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=30093734&amp;certid=401969"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=30093734&amp;certid=401969"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://rlhudson.com/about/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://rlhudson.com/about/"" data-cert_id=""402267"" data-cert_name=""ISO 14001 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30093734"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 14001 (Not Specified)</a></td></tr>\n</tbody></table>",Not Available,1980'},R.L. Hudson & Co.,http://www.rlhudson.com,Manufacturer,,,,,,,,,,,,,
304,Not Available,Not Available,Not Available,,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://ww2.gates.com/europe/brochure.cfm?brochure=7791&amp;location_id=11425"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://ww2.gates.com/europe/brochure.cfm?brochure=7791&amp;amp;location_id=11425"" data-cert_id=""29121"" data-cert_name=""ISO 9000 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10015874"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9000 (Not Specified)</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.gatesmectrol.com/mectrol/brochure.cfm?brochure=5191&amp;location_id=4944"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.gatesmectrol.com/mectrol/brochure.cfm?brochure=5191&amp;amp;location_id=4944"" data-cert_id=""269269"" data-cert_name=""ISO 9001:2000"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10015874"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9001:2000</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://ww2.gates.com/europe/brochure.cfm?brochure=7791&amp;location_id=11425"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://ww2.gates.com/europe/brochure.cfm?brochure=7791&amp;amp;location_id=11425"" data-cert_id=""292381"" data-cert_name=""ISO 14001 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10015874"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 14001 (Not Specified)</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO/TS 16949 (Not Specified)</td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://ww2.gates.com/europe/brochure.cfm?brochure=7791&amp;location_id=11425"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://ww2.gates.com/europe/brochure.cfm?brochure=7791&amp;amp;location_id=11425"" data-cert_id=""292380"" data-cert_name=""OHSAS 18001 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""10015874"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">OHSAS 18001 (Not Specified)</a></td></tr>\n<tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Six Sigma</td></tr>\n</tbody></table>",1911'},Gates Corporation,https://www.gates.com/,,,,,,,,,,,,,,
305,$250 Mil. and over,Not Available,1000+,Manufacturer,Not Available,Not Available,1897'},Goodyear Tire & Rubber Company,https://www.goodyear.com,Custom Manufacturer,,,,,,,,,,,,,
306,$1 - 4.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,Not Available'},The Briggs Company,http://briggsco.net/,"Distributor, Manufacturer",,,,,,,,,,,,,
307,$10 - 24.9 Mil,,50-99,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Conflict Minerals Disclosure</td></tr>\n</tbody></table>",1951'},"Abbott Rubber Company, Inc.",https://www.abbottrubber.com/,,,,,,,,,,,,,,
308,$1 - 4.9 Mil,,10-49,,Not Available,Not Available,1994'},Neptech Inc.,http://www.neptechinc.com/,,,,,,,,,,,,,,
309,$10 - 24.9 Mil,Not Available,10-49,,Not Available,Not Available,1977'},Pioneer Rubber & Gasket,https://www.pioneerrubber.com/,,,,,,,,,,,,,,
310,$10 - 24.9 Mil,,50-99,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Drug-Free Workplace Program</td></tr>\n</tbody></table>",1919'},Amazon Hose and Rubber Company,http://www.amazonhose.com,,,,,,,,,,,,,,
311,$25 - 49.9 Mil,Not Available,100-199,,"<table><tbody><tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=39250402&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=721235&amp;certid=445208"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=39250402&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=721235&amp;certid=445208"" target=""_blank"">ISO 9001:2015</a></td></tr>\n<tr><td><a href=""/certifications/download.html?what=irrigation&amp;heading=39250402&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=721235&amp;certid=354169"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?what=irrigation&amp;heading=39250402&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=721235&amp;certid=354169"" target=""_blank"">ISO 9001:2008</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""https://mwipumps.com/employment-opportunities/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""https://mwipumps.com/employment-opportunities/"" data-cert_id=""304854"" data-cert_name=""Drug-Free Workplace Program"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""721235"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">Drug-Free Workplace Program</a></td></tr>\n</tbody></table>",1926'},Moving Water Industries Corp.,http://www.mwicorp.com,,,,,,,,,,,,,,
312,Not Available,Not Available,Not Available,Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://hosesolutions.com/mining-hoses/"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://hosesolutions.com/mining-hoses/"" data-cert_id=""327555"" data-cert_name=""ISO 9002 (Not Specified)"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""30798705"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""39250402"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">ISO 9002 (Not Specified)</a></td></tr>\n</tbody></table>",Not Available,Not Available'},Hose Solutions Inc.,https://hosesolutions.com/,,,,,,,,,,,,,,
313,Under $1 Mil,Not Available,10-49,Distributor,Not Available,Not Available,1989'},"R & A Industries, Inc.",https://www.raindusa.com/,,,,,,,,,,,,,,
314,$5 - 9.9 Mil,"Glenn Baldwin, Pres.",10-49,Manufacturer,Not Available,Not Available,1970'},"Excalibur Extrusions, Inc.",http://www.excaliburextrusions.com,"Custom Manufacturer, Finishing Service Company",,,,,,,,,,,,,
315,$1 - 4.9 Mil,,10-49,,Not Available,Not Available,1987'},"Hydraulics, Inc.",http://www.hydraulics-inc.com,,,,,,,,,,,,,,
316,$1 - 4.9 Mil,,50-99,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>Lean Manufacturing</td></tr>\n</tbody></table>",1888'},"Tipco Technologies, Inc.",http://www.tipcotech.com,,,,,,,,,,,,,,
317,$1 - 4.9 Mil,"Michael Shannon, Sales",1-9,Custom Manufacturer,Not Available,Not Available,1996'},Anchor Rubber Products,http://www.anchorrubber.com,"Distributor, Manufacturer, Finishing Service Company",,,,,,,,,,,,,
318,$50 - 99.9 Mil,Not Available,1000+,,Not Available,Not Available,1941'},MSC Industrial Supply Co.,http://www.mscdirect.com,,,,,,,,,,,,,,
319,$10 - 24.9 Mil,,10-49,Distributor,Not Available,Not Available,1932'},Alliance Hose & Rubber Co.,http://www.alliancehose.com/index.html,,,,,Not Available,,,,,,,,,
320,$100 - 249.9 Mil,,200-499,,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1204028&amp;certid=451918"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=1204028&amp;certid=451918"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>RoHS 2 Compliant (RoHS Recast)</td></tr>\n</tbody></table>",2012'},Hanna Rubber Company,http://www.hannarubbercompany.com,,,,,,,,,,,,,,
321,$250 Mil. and over,,1000+,,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>GSA Approved</td></tr>\n</tbody></table>",1866'},F.W. Webb Company Thermoplastic Piping Div.,http://plastics.fwwebb.com/,,,,,,,,,,,,,,
322,$5 - 9.9 Mil,"Yigal Elbaz, V.P., Sales",10-49,Manufacturer,Not Available,Not Available,1980'},"Superflex, Ltd.",https://superflex.com/,Custom Manufacturer,,,,,,,,,,,,,
323,Not Available,Not Available,Not Available,Distributor,Not Available,Not Available,1924'},Ace Hardware,https://www.acehardware.com/,"Custom Manufacturer, Finishing Service Company",,,,,,,,,,,,,
324,$25 - 49.9 Mil,"Jeff Stone, Marketing Dir.",10-49,,Not Available,Not Available,1978'},"General Rubber & Plastics, Inc.",http://www.genrub.com/,,,,,,,,,,,,,,
325,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},"Thermamax, Inc.",https://www.thermamax.com/en,,,,,,,,,,,,,,
326,Not Available,"Rodney Bear, Sales &amp; Marketing Coordinator",Not Available,Manufacturer,Not Available,Not Available,Not Available'},"CutandCouple.com, Div. of Reliable Industrial Products Co.",https://www.cutandcouple.com/,"Distributor, Custom Manufacturer",,,,,,,,,,,,,
327,$5 - 9.9 Mil,Not Available,10-49,Custom Manufacturer,Not Available,Not Available,1994'},"Flex-Tech Hose & Tubing, Inc.",http://www.flextechhose.com,Manufacturer,,,,,,,,,,,,,
328,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1947'},Armstrong Industrial Hose,http://www.gardenhoseusa.com/,Custom Manufacturer,,,,,,,,,,,,,
329,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1997'},"Harrison Hose & Tubing, Inc.",https://www.harrisonhose.com/,"Distributor, Custom Manufacturer",,,,,,,,,,,,,
330,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Phil's Pumping & Fabricating,https://philspumpingandfab.com/,,,,,,,,,,,,,,
331,$25 - 49.9 Mil,,100-199,,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=567317&amp;certid=407984"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=39250402&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=567317&amp;certid=407984"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>",Not Available,1921'},"Strahman Valves, Inc.",https://www.strahmanvalves.com/,,,,,,,,,,,,,,
332,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,1959'},Fare's Industrial Tool & Supply,Failed,"Custom Manufacturer, Finishing Service Company",Not Available,,,,,,,,,,,,
333,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1969'},"Sun-Flow, Inc.",http://www.sun-flow.com,Custom Manufacturer,,,,,,,,,,,,,
334,$10 - 24.9 Mil,Not Available,50-99,Manufacturer,Not Available,Not Available,Not Available'},Mercedes Textiles Ltd,http://www.mercedestextiles.com,,,,,,,,,,,,,,
335,Not Available,,Not Available,,Not Available,Not Available,Not Available'},Irrigation Outlet LLC,http://www.irrigationoutlet.com/,,,,,,,,,,,,,,
336,Under $1 Mil,"Michael McMaster, G.M.</li><li>Dave McMaster, Pres.",1-9,Manufacturer,Not Available,Not Available,2012'},Tico Irrigation LLC,http://mcmasterfarmsllc.com/,,,,,,,,,,,,,,
337,Not Available,Not Available,Not Available,Unknown,Not Available,Not Available,Not Available'},FITT USA,https://usa.fitt.com/ena,Manufacturer,,,,,,,,,,,,,
338,$5 - 9.9 Mil,Not Available,10-49,,Not Available,Not Available,1965'},Munro,https://www.munropump.com/Home,,,,,,,,,,,,,,
339,$25 - 49.9 Mil,"Tom Troutner, Sales Mgr.</li><li>Dave Lord, Engineering Mgr.",100-199,Manufacturer,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9001:2000</td></tr>\n</tbody></table>",Not Available,1895'},Niedner Ltd.,http://www.niedner.com,Service Company,,,,,,,,,,,,,
340,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},Kanaflex Corp.,Failed,Service Company,Not Available,,,,,,,,,,,,
341,Under $1 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1954'},Vinylife Hose Co.,Failed,Custom Manufacturer,Not Available,,,,,,,,,,,,
342,Not Available,Not Available,50-99,Manufacturer,Not Available,Not Available,1953'},Petro Plastics Company Inc.,Failed,Custom Manufacturer,Not Available,,,,,,,,,,,,
343,Under $1 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1993'},MRS Fiberglass & Rubber Products,Failed,"Distributor, Custom Manufacturer",Not Available,,,,,,,,,,,,
344,$25 - 49.9 Mil,,100-199,,Not Available,Not Available,1954'},"NewAge Industries, Inc.",http://www.newageindustries.com/tr/,,,,,,,,,,,,,,
345,$1 - 4.9 Mil,"Dennis Orr, Sales &amp; Marketing",10-49,Custom Manufacturer,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_supplier_website.png"" title=""From Company Website"" alt=""From Company Website""></td><td><a href=""http://www.inlineplasticsinc.com/plastic-extrusion-services.html"" target=""_blank"" data-event_type=""link"" data-advertiser_link=""http://www.inlineplasticsinc.com/plastic-extrusion-services.html"" data-cert_id=""398658"" data-cert_name=""RoHS Compliant"" data-click_origin=""copro biz det"" data-client_ip=""69.27.5.110"" data-company_id=""1097586"" data-conversion_action=""From Company Website Certification"" data-coverage_area=""NA"" data-heading=""58491804"" data-hierarchy_1=""TNET"" data-hierarchy_2=""CERTIFICATIONS"" data-hierarchy_3=""From_Company_Website"" data-internal_search_term=""irrigation"" data-page_content_group=""Certifications"" data-servercallhost=""www.thomasnet.com"">RoHS Compliant</a></td></tr>\n</tbody></table>",1996'},"Inline Plastics, Inc.",https://www.inlineplasticsinc.com/,"Manufacturer, Service Company",,,,,,,,,,,,,
